siteID,date,observer,number,startTime,endTime,pathDistance
WOODMIDGA1,2016-05-10,"JLD,BNT",1,00:01,NA:NA,-99999
SMOKELEGA1,2016-05-11,"JLD,BNT",1,00:01,NA:NA,-99999
WILEKATGA1,2016-05-13,BNT,1,12:38,13:41,958
KRIVMAUGA1,2016-05-14,BNT,1,12:30,13:42,2590
BRAXBOBGA1,2016-05-18,JLD,1,11:13,12:09,1678
FAERHOWMA1,2016-05-25,"SBL, TMB",1,11:55,13:00,1020
HOGAMELGA1,2016-05-24,JLD,1,11:04,11:56,1467
HOUSJONGA1,2016-05-25,JLD,1,10:47,11:51,1729
CLARBRYMA1,2016-05-24,"TMB, SMB",1,11:48,12:55,1230
MCCAANNGA1,2016-05-26,JLD,1,11:17,12:10,1942
WAPLEESVA1,2016-05-27,"JLM,KPK,AEH,ERF",1,00:01,NA:NA,-99999
FIGUCHAFL1,2016-05-19,ZZ,1,07:15,08:15,-99999
PRESPENFL1,2016-05-19,ZZ,1,08:45,09:30,-99999
SILVCELFL1,2016-05-20,ZZ,1,07:15,08:15,-99999
INGRBENFL1,2016-05-21,ZZ,1,07:15,08:15,-99999
LISVINFL1,2016-05-24,ZZ,1,08:00,09:00,-99999
FULLPAMFL1,2016-05-25,ZZ,1,07:15,09:00,-99999
NAHIWILFL1,2016-05-26,ZZ,1,07:30,08:30,-99999
GRANIANFL1,2016-05-27,ZZ,1,07:15,09:15,-99999
FORDSUSMA1,2016-05-27,"SMB, TMB",1,11:43,13:00,2110
HARVSUENC1,2016-05-02,"KFJ,JIC",1,00:01,NA:NA,-99999
WALNCRENC1,2016-05-10,"KFJ,JIC",1,00:01,NA:NA,-99999
HALALEEMA1,2016-05-26,"SMB, SBL",1,12:10,13:30,2253
PIEPSUSMA1,2016-05-29,TMB,1,23:54,12:04,2110
SHEAMARMA1,2016-05-28,"SMB, TMB",1,11:47,12:50,2360
CONNJOHNC1,2016-04-29,"KFJ,JIC",1,00:01,NA:NA,-99999
WARDDOUVA1,2016-05-31,ERF,1,08:30,10:30,2005
DAVIALIVA1,2016-05-31,ERF,1,10:45,13:15,2355
WILDANNVA1,2016-05-31,ERF,1,10:45,13:15,2355
PAGEALLMA1,2016-05-31,TMB,1,11:53,12:59,2060
WAPLEESVA1,2016-05-27,"JLM,KPK.AEH,ERF",1,00:01,NA:NA,-99999
JAMESESVA1,2016-06-02,"ERF,JLM,KPK,AEH",1,00:01,NA:NA,-99999
BARBJERMD1,2016-06-03,"JLM,KPK",1,11:25,11:44,784
GALLTERMD1,2016-06-04,JLM,1,11:30,12:42,2660
DAVIALIVA1,2016-06-04,KPK,1,00:01,NA:NA,-99999
BRENTESDC1,2016-06-06,"KPK,ERF,JLM,AEH",1,12:08,13:36,4920
WILLTERMD1,2016-06-07,JLM,1,11:36,12:36,2460
PADORAMVA1,2016-06-07,KPK,1,11:41,12:43,1360
PATTPARMD1,2016-06-08,"ERF,JLM,KPK",1,10:00,11:00,2619
PATTPARMD1,2016-06-09,"ERF,JLM,KPK",1,00:01,NA:NA,-99999
REITBOBMD1,2016-06-10,test,1,00:01,NA:NA,-99999
WILLAMBNC1,2016-05-28,AJB,1,12:30,13:10,-99999
NEWTROBNC1,2016-05-29,AJB,1,12:15,13:22,-99999
HARABARNC1,2016-05-31,AJB,1,12:40,13:56,-99999
MCCODINNC1,2016-06-02,AJB,1,12:00,13:17,-99999
JOHNMIKNC1,2016-06-03,AJB,1,12:09,13:17,-99999
KRENMARGA1,2016-06-02,JLD,1,10:13,11:08,1973
DESIELAGA1,2016-06-03,JLD,1,11:03,11:59,1729
JENKANGGA2,2016-06-07,JLD,1,00:01,NA:NA,-99999
THERLARMA1,2016-06-02,TMB,1,11:53,12:57,1780
SINIKRIMA1,2016-06-03,TMB,1,11:38,12:58,2440
ROSEJOSMA1,2016-06-04,TMB,1,11:34,12:48,2430
KELLSETMA1,2016-06-03,noData,1,13:00,15:30,2897
STEMMSMA1,2016-06-06,"SBL, TMB, SMB",1,00:01,NA:NA,-99999
RICHALMA1,2016-06-07,"TMB, RSG",1,11:40,12:40,1860
PELLVOLMA1,2016-06-09,TMB,1,00:01,NA:NA,-99999
CARRVIRFL1,2016-06-01,ZZ,1,07:00,08:00,640
LAMMLAUFL1,2016-06-02,ZZ,1,06:30,08:00,1550
GOWAGEOFL1,2016-06-04,ZZ,1,06:15,08:00,962
ROBISCOFL1,2016-06-08,ZZ,1,06:20,08:00,100
MILLKARFL1,2016-06-08,ZZ,1,08:30,09:10,-99999
JONEHARFL1,2016-06-08,ZZ,1,09:20,10:00,514
CAMPPAUFL1,2016-06-09,ZZ,1,07:00,08:00,1046
WELLBREFL1,2016-06-09,ZZ,1,08:20,09:00,675
EGGELESVA1,2016-06-10,JLM,1,11:30,12:04,1710
SCHIMARMD1,2016-06-10,"KPK, AEH",1,11:46,14:00,1260
MOSELYNNC1,2016-06-07,AJB,1,13:35,14:47,-99999
RYBAELAMA1,2016-06-10,TMB,1,11:45,12:50,1800
LOFLKATNC1,2016-06-01,"KFJ,JIC, LAI",1,09:00,10:00,-99999
KANEEVANC1,2016-06-02,"KFJ,JIC",1,09:00,10:00,-99999
CORBAMYNC1,2016-06-06,"JIC,KFJ.CG",1,09:30,10:30,-99999
CORBAMYNC1,2016-06-06,"JIC,KFJ,CG",1,09:30,10:30,-99999
JAKUJULMA1,2016-06-11,SMB,1,00:01,NA:NA,-99999
RUDDLINNC1,2016-06-10,"KFJ,JIC,CG,LAI",1,10:00,09:45,-99999
BROANANNC1,2016-06-08,AJB,1,12:15,13:09,-99999
WOUKKARNC1,2016-06-09,AJB,1,12:45,13:37,-99999
MANDMARNC1,2016-06-11,AJB,1,12:13,13:27,-99999
PRAIRIDNC1,2016-04-16,"KFJ,JIC",1,00:01,NA:NA,-99999
PRAIRIDNC1,2016-05-26,"JAG,OFM,VJM,EAL",1,00:01,NA:NA,-99999
HAWNJANVA1,2016-06-03,ERF,1,08:40,10:45,1676
LAMBAMYMD1,2016-06-11,JLM,1,12:00,12:53,2410
JACOMERMD1,2016-06-11,KPK,1,11:13,12:19,2440
SUBRSTEMD1,2016-06-13,JLM,1,08:52,09:56,2130
BAINANDMD1,2016-06-13,JLM,1,07:10,08:30,2840
FAGABERMD1,2016-06-13,JLM,1,10:13,11:11,2120
MYERBRUMD1,2016-06-13,"KPK,AEH",1,11:15,13:17,2460
JACKALADC1,2016-06-13,DLN/EAB,1,11:15,12:15,1.91
SAPPBILGA1,2016-05-18,BNT,1,10:37,11:45,674.2
HOYTHARGA1,2016-06-08,JLD,1,00:01,NA:NA,-99999
ASTOLAUGA1,2016-05-20,BNT,1,11:30,11:50,78
MURPMICGA1,2016-06-11,JLD,1,11:03,11:58,1736
JONEFAIGA1,2016-05-21,BNT,1,10:41,11:53,466.8
MURRSANGA1,2016-05-23,BNT,1,11:39,12:34,423.8
CHALMICGA1,2016-06-13,JLD,1,11:10,12:03,1672
NZPBIRDDC1,2016-05-14,"CQS,ERC, ERF",1,00:01,NA:NA,-99999
NZPBIRDDC1,2016-06-14,"TAG,PPM,BSE",1,00:01,NA:NA,-99999
KESTSABDC1,2016-06-04,"ERF, DLN",1,12:00,13:15,-99999
KESTSABDC1,2016-06-04,ERF,1,12:00,13:15,-99999
VERSBETMD1,2016-06-14,JLM,1,12:04,12:20,857
CAMPROSMD1,2016-06-14,"KPK,AEH",1,11:24,14:24,2580
SALOSHEMD1,2016-06-14,DLN/LES,1,13:10,14:10,2002
CALVCARMA1,2016-06-09,SMB,1,12:38,13:10,1577
MEADRUTNC1,2016-06-08,"KFJ,JIC,CG",1,10:00,11:00,-99999
LABOPEGMA1,2016-06-08,SMB,1,12:22,13:12,1770
POVEANGGA1,2016-05-26,BNT,1,11:15,12:26,551
HAWKDIAGA1,2016-05-31,BNT,1,10:41,12:00,612
PRITANGGA1,2016-06-01,BNT,1,11:20,12:33,608
FLOWANGGA1,2016-06-15,BNT,1,11:25,12:25,326
TALEKELGA1,2016-06-08,BNT,1,11:07,12:27,416
PAPPLISGA1,2016-06-10,BNT,1,09:15,10:20,591
ALCOKENGA1,2016-06-11,BNT,1,11:15,12:27,487
TOTHCARGA1,2016-06-13,BNT,1,10:47,11:55,550
BURNDENNC1,2016-06-14,AJB,1,12:46,13:52,-99999
KAMILEIVA1,2016-06-15,"KPK,AEH",1,11:24,13:20,2300
GOROCARDC1,2016-06-07,"ERF, AEH",1,12:00,13:30,2260
BAKENANMA1,2016-06-07,SMB,1,12:57,14:00,2124
MATUKEVMA1,2016-06-12,TMB,1,12:15,13:29,2050
BLOCDAVMD1,2016-06-16,"KPK,EAB",1,11:19,12:34,1830
BRIGKIMMD1,2016-06-16,JLM,1,11:40,12:44,2010
BROWANNMD1,2016-04-28,"ERF, AEH",1,00:01,NA:NA,-99999
BROWANNMD1,2016-06-17,"KPK, AEH",1,11:30,13:10,1800
DALEELIMD1,2016-06-17,JLM,1,12:00,12:30,896
WOODELEVA1,2016-06-16,DLN,1,10:30,NA:NA,-99999
WOODELEVA1,2016-06-16,DLN,1,10:30,11:00,-99999
VEARRICMA1,2016-06-15,TMB,1,12:09,13:12,2210
BELMNIKGA1,2016-06-14,JLD,1,11:02,11:56,1823
DISALINGA1,2016-06-15,JLD,1,10:48,11:43,1779
HOPKMARGA1,2016-06-18,JLD,1,00:01,NA:NA,-99999
SARUANJGA1,2016-06-18,BNT,1,11:23,12:32,430
DAYLAUFL1,2016-06-10,ZZ,1,07:15,08:15,-99999
PFEIJOHFL1,2016-06-10,ZZ,1,08:30,09:30,-99999
LUISJONFL1,2016-06-11,ZZ,1,08:00,09:00,1368
COCKNICFL1,2016-06-13,ZZ,1,07:00,07:50,-99999
MANEXXXFL1,2016-06-13,ZZ,1,08:20,09:00,-99999
ONEAJACFL1,2016-06-15,ZZ,1,07:30,08:30,-99999
WATSJOSFL1,2016-06-16,ZZ,1,06:45,07:15,-99999
COLLCLAFL1,2016-06-16,ZZ,1,07:30,08:15,-99999
DOWBENFL1,2016-06-19,ZZ,1,06:30,07:00,-99999
ENNEBECFL1,2016-06-19,ZZ,1,07:30,08:30,2415
