siteID,date,observer,time,forayNumber,bandNumber,longitude,latitude,resightType,notes
KENTADAFL1,2013-12-31,NA,NA,noData,1991-18077,NA,NA,T,NA
KENTADAFL1,2013-12-31,NA,NA,noData,1991-18078,NA,NA,T,NA
KENTADAFL1,2013-12-31,NA,NA,noData,2331-09148,NA,NA,T,NA
KENTADAFL1,2013-01-31,NA,NA,noData,2640-61858,NA,NA,T,NA
KENTADAFL1,2013-01-31,NA,NA,noData,2640-61856,NA,NA,T,NA
KENTADAFL1,2013-01-31,NA,NA,noData,2571-90250,NA,NA,T,NA
KENTADAFL1,2013-01-31,NA,NA,noData,2571-90251,NA,NA,T,NA
KENTADAFL1,2013-01-31,NA,NA,noData,1991-18077,NA,NA,T,NA
KENTADAFL1,2013-01-31,NA,NA,noData,1991-18078,NA,NA,T,NA
KENTADAFL1,2013-01-31,NA,NA,noData,2331-09148,NA,NA,T,NA
KENTADAFL1,2013-02-28,NA,NA,noData,2640-61858,NA,NA,T,NA
KENTADAFL1,2013-02-28,NA,NA,noData,2640-61856,NA,NA,T,NA
KENTADAFL1,2013-02-28,NA,NA,noData,2571-90250,NA,NA,T,NA
KENTADAFL1,2013-02-28,NA,NA,noData,2571-90251,NA,NA,T,NA
KENTADAFL1,2013-02-28,NA,NA,noData,1991-18078,NA,NA,T,NA
KENTADAFL1,2013-02-28,NA,NA,noData,2331-09148,NA,NA,T,NA
KENTADAFL1,2014-03-31,NA,NA,noData,2640-61858,NA,NA,T,NA
KENTADAFL1,2014-03-31,NA,NA,noData,2640-61856,NA,NA,T,NA
KENTADAFL1,2014-03-31,NA,NA,noData,2571-90250,NA,NA,T,NA
KENTADAFL1,2014-03-31,NA,NA,noData,2571-90251,NA,NA,T,NA
KENTADAFL1,2014-03-31,NA,NA,noData,1991-18078,NA,NA,T,NA
KENTADAFL1,2014-04-30,NA,NA,noData,2640-61858,NA,NA,T,NA
KENTADAFL1,2014-04-30,NA,NA,noData,2571-90251,NA,NA,T,NA
KENTADAFL1,2014-04-30,NA,NA,noData,2331-09148,NA,NA,T,NA
