siteID,date,observer,time,bandNumber,longitude,latitude,resightType,notes
URBABETMD1,2004-05-11,NA,NA,1801-77677,NA,NA,T,"yearColumn = 2003, banded 30 June; yearColumn = 2004, sighted 11 May"
BARNDORMD1,2004-04-24,NA,NA,1801-77838,NA,NA,T,"yearColumn = 2003, banded 1 July; yearColumn = 2004, resighted 24 April; yearColumn = 2004, banded"
BERGMICMD1,2004-05-25,NA,NA,2350-07604,NA,NA,T,"yearColumn = 2003, banded 7-July; yearColumn = 2004, resighted 25 May"
NZPSMBCDC1,2004-06-22,NA,NA,1841-58708,NA,NA,T,"yearColumn = 2003, banded 11 July; yearColumn = 2004, resighted by participant 22 June"
HUTCBARVA1,2004-05-26,NA,NA,1901-20513,NA,NA,T,"yearColumn = 2003, banded 7/18; yearColumn = 2004, resighted 26 May"
EDEREDWVA1,2004-06-03,NA,NA,1901-20510,NA,NA,T,"yearColumn = 2003, banded 17 July; yearColumn = 2004, resighted 3 June; yearColumn = 2005, resighted by 30 June"
STURCARMD1,2004-07-14,NA,NA,1841-58824,NA,NA,T,"yearColumn = 2003, banded 28 July; yearColumn = 2004, Resighted 14 July"
HIRSHHODC1,2004-07-27,NA,NA,1841-58822,NA,NA,T,"yearColumn = 2003, banded 25 July; yearColumn = 2004, resighted 27 July; yearColumn = 2005, sampled WNV crew 6/7"
GOUGGREMD1,2004-06-21,NA,NA,1841-58618,NA,NA,T,"yearColumn = 2003, Banded 18 aug; yearColumn = 2004, resighted 21 June at Gomes"
SCOLWENMD1,2004-05-15,NA,NA,1811-58814,NA,NA,T,"yearColumn = 2003, Banded 15 May; yearColumn = 2004, Resighted May; yearColumn = 2004, banded; yearColumn = 2005, resighted 5/13/05; yearColumn = 2005, resighted 5/13/05"
NZPSMBCDC1,2004-08-17,NA,NA,4501-87512,NA,NA,T,"yearColumn = 2003, banded 18 July; yearColumn = 2004, resighted by participant17 August; yearColumn = 2005, resighted by participant 16 Feb"
REITBOBMD1,2005-03-30,NA,NA,1141-05571,NA,NA,T,"yearColumn = 2001, banded 15 MAy; yearColumn = 2005, resighted by participant 30 March"
EDEREDWVA1,2005-03-25,NA,NA,1141-05631,NA,NA,T,"yearColumn = 2001, banded 22 June; yearColumn = 2003, resighted spring 2003; yearColumn = 2004, resighted 14 March by participant; yearColumn = 2005, resighted by 25 March"
SANFCARMD1,2005-05-31,NA,NA,1751-51934,NA,NA,T,"yearColumn = 2001, banded 6 June; yearColumn = 2002, resighted 14 May; yearColumn = 2003, resighted 12 May; yearColumn = 2004, resighted by participant; yearColumn = 2005, resighted 31 May"
SCHOPAUMD1,2005-06-27,NA,NA,791-17081,NA,NA,T,"yearColumn = 2001, banded 4 June; yearColumn = 2003, Resight 5 May; yearColumn = 2005, resight 27 June"
SULLPAUVA1,2005-06-30,NA,NA,1141-05788,NA,NA,T,"yearColumn = 2001, banded 7 May; yearColumn = 2004, recaptured 14 June; yearColumn = 2005, resighted 30 June"
NZPSMBCDC1,2005-02-04,NA,NA,1141-05569,NA,NA,T,"yearColumn = 2001, banded 11 May; yearColumn = 2002, resighted 11 April; yearColumn = 2003, resighted 23 Nov; yearColumn = 2004, resighted 19 April; yearColumn = 2005, resighted 4 feb by participant"
TATEJUAMD1,2005-06-08,NA,NA,2250-24030,NA,NA,T,"yearColumn = 2001, banded 16 May; yearColumn = 2002, recaptured 18 July; yearColumn = 2003, recaptured 16 June; yearColumn = 2004, resighted 27 May; yearColumn = 2005, resighted 8 June"
HADDMARMD1,2005-04-29,NA,NA,2250-24213,NA,NA,T,"yearColumn = 2001, banded 2 May; yearColumn = 2005, resighted April 29, 2005"
REITBOBMD1,2005-02-28,NA,NA,8001-21330,NA,NA,T,"yearColumn = 2002, banded 1 May; yearColumn = 2004, resight 3 May by participant; yearColumn = 2005, resight by participant 28 Feb"
REUTSHAMD1,2005-07-12,NA,NA,8001-21439,NA,NA,T,"yearColumn = 2002, banded 16 May, resight 25 Sept; yearColumn = 2005, resighted July 12"
JACOAMYMD1,2005-05-23,NA,NA,8001-21442,NA,NA,T,"yearColumn = 2002, banded 19 May; yearColumn = 2005, resighted 23 May"
LUCIDANMD1,2005-04-25,NA,NA,8001-21475,NA,NA,T,"yearColumn = 2002, banded 22 June; yearColumn = 2003, resighted 21 May; yearColumn = 2004, resighted 13 May; yearColumn = 2005, resighted 25 April"
OMLAKEVMD1,2005-07-06,NA,NA,1721-48582,NA,NA,T,"yearColumn = 2002, banded 4 June; yearColumn = 2005, resighted 6 July"
MOLIKARMD1,2005-07-20,NA,NA,1801-09426,NA,NA,T,"yearColumn = 2002, banded 17 June; yearColumn = 2003, resighted 9 May; yearColumn = 2005, resighted 20 July"
MCKEJANMD1,2005-05-11,NA,NA,1801-09483,NA,NA,T,"yearColumn = 2002, banded 2 August; yearColumn = 2005, resighted 11 May; yearColumn = 2009, resighted 7/16/09 by AJR."
HAMIMARMD1,2005-05-03,NA,NA,1801-09622,NA,NA,T,"yearColumn = 2002, banded 19 August; yearColumn = 2005, resighted 5/3"
MISBJANMD1,2005-06-21,NA,NA,1801-09689,NA,NA,T,"yearColumn = 2002, banded 13 Sept; yearColumn = 2003, recaptured 3 June; yearColumn = 2005, resighted 21 June"
MCCAKEVMD1,2005-06-30,NA,NA,1811-58685,NA,NA,T,"yearColumn = 2003, banded May 3; yearColumn = 2005, resighted 30 June"
MOSMCARMD1,2005-06-11,NA,NA,2250-24970,NA,NA,T,"yearColumn = 2003, banded May 8; yearColumn = 2005, resighted 11 June"
NZPSMBCDC1,2005-03-14,NA,NA,8001-21396,NA,NA,T,"yearColumn = 2003, captured 5/13/03; yearColumn = 2004, resight 5/12; yearColumn = 2005, resight by participant 14 March; yearColumn = 2006, resighted 27 March. Found dead in parking lot late summer."
NZPSMBCDC1,2005-03-02,NA,NA,4501-87504,NA,NA,T,"yearColumn = 2003, captured 5/13/03; yearColumn = 2004, resighted 18 June; yearColumn = 2005, resighted by participant 2 March"
MEGOPATMD1,2005-06-16,NA,NA,4501-87414,NA,NA,T,"yearColumn = 2003, Banded 2June; yearColumn = 2004, resighted 1 June; yearColumn = 2005, resighted 16 June"
BORGRACMD1,2005-06-06,NA,NA,1801-09580,NA,NA,T,"yearColumn = 2003, Banded 28 May; yearColumn = 2005, resighted 6 June"
KORRHARMD1,2005-05-02,NA,NA,1801-09592,NA,NA,T,"yearColumn = 2003, Banded 5 June; yearColumn = 2005, resighted May 2"
STANJEFMD1,2005-07-18,NA,NA,962-47836,NA,NA,T,"yearColumn = 2003, banded 6/6; yearColumn = 2005, resighted 18 July"
TATEJUAMD1,2005-05-15,NA,NA,742-29799,NA,NA,T,"yearColumn = 2004, banded 27 May; yearColumn = 2005, resighted May"
BROWANNDC1,2005-05-19,NA,NA,1152-87502,NA,NA,T,"yearColumn = 2003, Banded 14 June; yearColumn = 2004, resight by participant 6/12; yearColumn = 2005, resighted 19 May"
NZPSMBCDC1,2005-06-29,NA,NA,962-47704,NA,NA,T,"yearColumn = 2003, banded 11 July; yearColumn = 2005, resighted 29June"
EDEREDWVA1,2005-06-30,NA,NA,1901-20510,NA,NA,T,"yearColumn = 2003, banded 17 July; yearColumn = 2004, resighted 3 June; yearColumn = 2005, resighted by 30 June"
NATIGALDC1,2005-07-28,NA,NA,742-29709,NA,NA,T,"yearColumn = 2003, banded 9 July; yearColumn = 2005, resight WNV crew 28 July"
HIRSHHODC1,2005-06-07,NA,NA,1841-58822,NA,NA,T,"yearColumn = 2003, banded 25 July; yearColumn = 2004, resighted 27 July; yearColumn = 2005, sampled WNV crew 6/7"
BEALTOMMD1,2005-06-19,NA,NA,1950-50471,NA,NA,T,"yearColumn = 2004, banded 27 April; yearColumn = 2005, resighted 19 June"
LUCIDANMD1,2005-04-25,NA,NA,4501-87461,NA,NA,T,"yearColumn = 2004, banded 13 May; yearColumn = 2005, resighted 25 April"
EVANMICMD1,2005-07-22,NA,NA,4501-87429,NA,NA,T,"yearColumn = 2004, banded 19 May; yearColumn = 2005, resighted 22 July; yearColumn = 2006, resighted 7/5"
SCOLWENMD1,2005-05-13,NA,NA,1811-58814,NA,NA,T,"yearColumn = 2003, Banded 15 May; yearColumn = 2004, Resighted May; yearColumn = 2004, banded; yearColumn = 2005, resighted 5/13/05; yearColumn = 2005, resighted 5/13/05"
EDEREDWVA1,2005-06-17,NA,NA,1891-87381,NA,NA,T,"yearColumn = 2004, banded 3 June; yearColumn = 2005, resighted 17 June"
GIBSELAMD1,2005-06-09,NA,NA,742-29781,NA,NA,T,"yearColumn = 2004, banded 28 June; yearColumn = 2005, resighted 9 June"
WOLFKARDC1,2005-05-25,NA,NA,4501-87456,NA,NA,T,"yearColumn = 2004, banded 29 June; yearColumn = 2005, resighted 25 May; yearColumn = 2008, recap 26 June."
NZPSMBCDC1,2005-06-29,NA,NA,1141-05888,NA,NA,T,"yearColumn = 2003, banded 18 July; yearColumn = 2005, resighted 29 June; yearColumn = 2007, resighted 7 june.; yearColumn = 2008, resighted 10 March."
NZPSMBCDC1,2005-02-16,NA,NA,4501-87512,NA,NA,T,"yearColumn = 2003, banded 18 July; yearColumn = 2004, resighted by participant17 August; yearColumn = 2005, resighted by participant 16 Feb"
WILLCYNVA1,2005-05-05,NA,NA,4501-87491,NA,NA,T,"yearColumn = 2004, banded 12 July; yearColumn = 2005, resighted 5/5/05"
CANTBOBMD1,2005-06-20,NA,NA,2380-02420,NA,NA,T,"yearColumn = 2004, banded 13 July; yearColumn = 2005, resighted 20 June"
COLALISMD1,2005-05-11,NA,NA,2350-07900,NA,NA,T,"yearColumn = 2004, banded; yearColumn = 2005, resighted 5/11/05"
FAGABERMD1,2005-05-10,NA,NA,1951-20956,NA,NA,T,"yearColumn = 2004, banded; yearColumn = 2005, resighted 10 May"
FAGABERMD1,2005-05-10,NA,NA,1901-20598,NA,NA,T,"yearColumn = 2004, banded; yearColumn = 2005, resighted 10 May"
GEHRDALMD1,2005-06-06,NA,NA,1801-77866,NA,NA,T,"yearColumn = 2004, banded; yearColumn = 2005, resighted June 6"
LERNJEFMD1,2005-05-12,NA,NA,1951-20933,NA,NA,T,"yearColumn = 2004, banded; yearColumn = 2005, resighted 12 May"
LERNJEFMD1,2005-05-12,NA,NA,1801-77992,NA,NA,T,"yearColumn = 2003, Banded 9 July; yearColumn = 2004, Resighted 23 May; yearColumn = 2004, banded; yearColumn = 2005, resighted 12 May"
LERNJEFMD1,2005-05-12,NA,NA,1951-20934,NA,NA,T,"yearColumn = 2004, banded; yearColumn = 2005, resighted 12 May"
MAHOJIMMD1,2005-05-04,NA,NA,1951-20903,NA,NA,T,"yearColumn = 2004, banded; yearColumn = 2005, resighted 5/4"
MISSEDDC1,2005-05-23,NA,NA,1801-77752,NA,NA,T,"yearColumn = 2003, Banded 26 May; yearColumn = 2004, banded; yearColumn = 2005, resighted 23 May? see notes"
NAYLMICMD1,2005-05-14,NA,NA,1901-20657,NA,NA,T,"yearColumn = 2004, banded; yearColumn = 2005, resighted 14 May"
SCOLWENMD1,2005-05-13,NA,NA,1901-20573,NA,NA,T,"yearColumn = 2004, banded; yearColumn = 2005, resighted 5/13/05"
SCOLWENMD1,2005-05-13,NA,NA,1951-20937,NA,NA,T,"yearColumn = 2004, banded; yearColumn = 2005, resighted 5/13/05"
AMERICOMD1,2005-07-13,NA,NA,1951-20913,NA,NA,T,"yearColumn = 2004, banded; yearColumn = 2005, resighted 13 July-Female"
UNGELAUDC1,2005-05-17,NA,NA,1951-20908,NA,NA,T,"yearColumn = 2004, banded; yearColumn = 2005, resighted 17 May"
NZPSMBCDC1,2006-09-27,NA,NA,1751-51960,NA,NA,T,"yearColumn = 2001, banded 11 May; yearColumn = 2003, resighted 2 Jan 04; yearColumn = 2004, resighted 2 March; yearColumn = 2006, resighted 27 September; yearColumn = 2007, resighted by participant 11 March; yearColumn = 2008, resighted by participant 23 December."
NZPSMBCDC1,2006-03-27,NA,NA,8001-21396,NA,NA,T,"yearColumn = 2003, captured 5/13/03; yearColumn = 2004, resight 5/12; yearColumn = 2005, resight by participant 14 March; yearColumn = 2006, resighted 27 March. Found dead in parking lot late summer."
NZPSMBCDC1,2006-07-15,NA,NA,8001-21396,NA,NA,T,"yearColumn = 2003, captured 5/13/03; yearColumn = 2004, resight 5/12; yearColumn = 2005, resight by participant 14 March; yearColumn = 2006, resighted 27 March. Found dead in parking lot late summer."
STAVKORMD1,2006-07-13,NA,NA,1841-58602,NA,NA,T,"yearColumn = 2003, Banded 14 June; yearColumn = 2004, resighted 2 June; yearColumn = 2006, resighted 13 July"
EVANMICMD1,2006-07-05,NA,NA,4501-87429,NA,NA,T,"yearColumn = 2004, banded 19 May; yearColumn = 2005, resighted 22 July; yearColumn = 2006, resighted 7/5"
REITBOBMD1,2006-05-25,NA,NA,1851-95464,NA,NA,T,"yearColumn = 2005, banded 5 May; yearColumn = 2006, resighted 5/25/2006"
WISECELMD1,2006-07-05,NA,NA,742-29602,NA,NA,T,"yearColumn = 2005, banded 6 June; yearColumn = 2006, resighted 7/5"
NZPSMBCDC1,2006-08-25,NA,NA,2241-18009,NA,NA,T,"yearColumn = 2005, banded 29 June; yearColumn = 2006, resighted by participant 25 Aug; yearColumn = 2008, resighted by participant"
NZPSMBCDC1,2007-03-11,NA,NA,1751-51960,NA,NA,T,"yearColumn = 2001, banded 11 May; yearColumn = 2003, resighted 2 Jan 04; yearColumn = 2004, resighted 2 March; yearColumn = 2006, resighted 27 September; yearColumn = 2007, resighted by participant 11 March; yearColumn = 2008, resighted by participant 23 December."
MUTRCYNMD1,2007-06-01,NA,NA,8001-21343,NA,NA,T,"yearColumn = 2002, band 16 May; recap 19 Sept; yearColumn = 2003, resighted 20 June; yearColumn = 2007, resighted 1 june"
MILLJOEMD1,2007-06-23,NA,NA,1801-09520,NA,NA,T,"yearColumn = 2002, banded 16 July; yearColumn = 2007, resight 23 June"
MILLJOEMD1,2007-06-22,NA,NA,1801-09521,NA,NA,T,"yearColumn = 2002, banded 16 July; yearColumn = 2007, resight 6/22"
SCHLROBMD1,2007-05-02,NA,NA,1801-09460,NA,NA,T,"yearColumn = 2002, bandd 22 July; yearColumn = 2007, resighted 2 May"
STANJEFMD1,2007-05-24,NA,NA,1841-58841,NA,NA,T,"yearColumn = 2004, banded 20 May; yearColumn = 2005, resighted by participant 17 July; yearColumn = 2006, recaptured June 17; yearColumn = 2007, resighted by participant and bander on 24 May; yearColumn = 2008, resighted by participant 1 June; yearColumn = 2009, resighted during visit 5/7/2009"
SCHILYDMD1,2007-03-15,NA,NA,4501-87432,NA,NA,T,"yearColumn = 2004, banded 22 June; yearColumn = 2007, Resighted by bander"
NZPSMBCDC1,2007-06-07,NA,NA,1141-05888,NA,NA,T,"yearColumn = 2003, banded 18 July; yearColumn = 2005, resighted 29 June; yearColumn = 2007, resighted 7 june.; yearColumn = 2008, resighted 10 March."
CARLSHIMD1,2007-05-14,NA,NA,1951-20916,NA,NA,T,"yearColumn = 2004, banded 23 June; yearColumn = 2005, resighted by participant- winter; yearColumn = 2007, resighted 14 May; yearColumn = 2008, recaptured may 26"
REITBOBMD1,2007-05-11,NA,NA,1801-77870,NA,NA,T,"yearColumn = 2004, banded 4 June; yearColumn = 2007, resighted by participant 11 May."
SCHLROBMD1,2007-05-02,NA,NA,1801-77847,NA,NA,T,"yearColumn = 2004, banded; yearColumn = 2007, resighted 2 May; yearColumn = 2008, resighted by participant 17 Nov, 2 April"
SERCGUEMD1,2007-07-20,NA,NA,2370-05623,NA,NA,T,"yearColumn = 2004, banded; yearColumn = 2007, Resighted 20 July"
HADDMARMD1,2007-07-21,NA,NA,2241-17601,NA,NA,T,"yearColumn = 2005, banded April 29; yearColumn = 2007, re-sight 21-Jul"
REITBOBMD1,2007-07-05,NA,NA,1851-95463,NA,NA,T,"yearColumn = 2005, banded 5 May; yearColumn = 2007, found deceased on road 5 July"
CONNBARMD1,2007-06-18,NA,NA,1951-40959,NA,NA,T,"yearColumn = 2005, banded 10 June; yearColumn = 2007, Resighted by bander 18 June"
BARBJERMD1,2007-06-27,NA,NA,2430-29216,NA,NA,T,"yearColumn = 2005, banded 11 June; yearColumn = 2007, resight 27 June"
BARBJERMD1,2007-06-25,NA,NA,1951-40963,NA,NA,T,"yearColumn = 2005, banded 11 June; yearColumn = 2007, resight 25 June"
MCCAKEVMD1,2007-03-15,NA,NA,1951-41299,NA,NA,T,"yearColumn = 2005, banded 30 June; yearColumn = 2007, resighted by bander"
REITBOBMD1,2007-05-13,NA,NA,2251-80702,NA,NA,T,"yearColumn = 2006, banded 25 May; yearColumn = 2007, resighted by participant 13 May"
TATEJUAMD1,2007-06-27,NA,NA,2251-80523,NA,NA,T,"yearColumn = 2006, banded 6/19; yearColumn = 2007, resighted 6/27/07.; yearColumn = 2008, resighted by participant 10 August"
TATEJUAMD1,2007-06-27,NA,NA,2251-80712,NA,NA,T,"yearColumn = 2006, banded May 27; yearColumn = 2007, resighted 6/27/07.; yearColumn = 2008, resighted by participant 4 May; yearColumn = 2010, resighted by participant 16 June"
TATEJUAMD1,2007-06-27,NA,NA,2251-80714,NA,NA,T,"yearColumn = 2006, banded May 27; yearColumn = 2007, resighted 6/27/07"
HUNTDAVMD2,2008-07-18,NA,NA,791-17835,NA,NA,T,"yearColumn = 2001, banded 2 July; yearColumn = 2002, resighted 29 May; yearColumn = 2008, July 18, 2008 resighted"
NZPSMBCDC1,2008-12-23,NA,NA,1751-51960,NA,NA,T,"yearColumn = 2001, banded 11 May; yearColumn = 2003, resighted 2 Jan 04; yearColumn = 2004, resighted 2 March; yearColumn = 2006, resighted 27 September; yearColumn = 2007, resighted by participant 11 March; yearColumn = 2008, resighted by participant 23 December."
BARBJERMD1,2008-06-02,NA,NA,2250-24385,NA,NA,T,"yearColumn = 2002, banded 18 Sept; yearColumn = 2008, resight 6/2/08; yearColumn = 2009, resighted by participant 28 March"
COLSKATMD1,2008-06-19,NA,NA,1801-77835,NA,NA,T,"yearColumn = 2003, banded 27 June; yearColumn = 2008, resighted 6/19/2008"
NZPSMBCDC1,2008-03-10,NA,NA,1141-05888,NA,NA,T,"yearColumn = 2003, banded 18 July; yearColumn = 2005, resighted 29 June; yearColumn = 2007, resighted 7 june.; yearColumn = 2008, resighted 10 March."
SCHLROBMD1,2008-06-19,NA,NA,2350-07896,NA,NA,T,"yearColumn = 2004, banded; yearColumn = 2007, resighted 2 May, 8 Aug, 18 Dec; yearColumn = 2008, resighted 19 June; yearColumn = 2009, resighted by participant 5 April, 5 Feb"
BLOCDAVMD1,2008-05-17,NA,NA,2241-17620,NA,NA,T,"yearColumn = 2005, banded 23 Jun; yearColumn = 2008, resighted 5/17; yearColumn = 2009, RESIGHTED BY PARTICIPANT"
BLOCDAVMD1,2008-05-17,NA,NA,1951-40968,NA,NA,T,"yearColumn = 2005, banded 23 June; yearColumn = 2008, resighted 5/17; yearColumn = 2013, resighted by participant 5/26/2013"
NZPSMBCDC1,2008-03-15,NA,NA,2241-18009,NA,NA,T,"yearColumn = 2005, banded 29 June; yearColumn = 2006, resighted by participant 25 Aug; yearColumn = 2008, resighted by participant"
GOROCARDC1,2008-06-13,NA,NA,4501-87466,NA,NA,T,"yearColumn = 2005, Banded July 11; yearColumn = 2008, Resight 13 June"
NATICATDC1,2008-07-09,NA,NA,1951-41124,NA,NA,T,"yearColumn = 2005, banded 14 July; yearColumn = 2008, resighted 9-Jul"
COLSKATMD1,2008-06-19,NA,NA,2251-80739,NA,NA,T,"yearColumn = 2006, banded June 11; yearColumn = 2008, resighted 6/19/2008; yearColumn = 2009, resighted by participant 24 May"
COLSKATMD1,2008-06-19,NA,NA,2251-80747,NA,NA,T,"yearColumn = 2006, banded June 19; yearColumn = 2008, resighted 6/19/2008."
KORRHARMD1,2008-06-13,NA,NA,1991-46110,NA,NA,T,"yearColumn = 2007, Banded 8 May; yearColumn = 2008, resighted 13 June; yearColumn = 2009, resighted 6/4/2009, nesting in yard"
MCKEANNVA1,2008-06-20,NA,NA,1951-41060,NA,NA,T,"yearColumn = 2007, banded 11 May; yearColumn = 2008, Resighted June 20"
MANNJANDC1,2008-06-10,NA,NA,1951-41068,NA,NA,T,"yearColumn = 2007, Banded 23 May; yearColumn = 2008, Resighted June 10"
PANCSAMMD1,2008-08-04,NA,NA,2261-38315,NA,NA,T,"yearColumn = 2007, banded 29 may; yearColumn = 2008, resighted 8/4/2008; yearColumn = 2010, resighted 6/26/10"
TINIKATMD1,2008-06-03,NA,NA,2261-38314,NA,NA,T,"yearColumn = 2007, banded 4 june; yearColumn = 2008, resight 6/3/2008"
CAMPGLOMD1,2008-06-09,NA,NA,2460-22902,NA,NA,T,"yearColumn = 2007, Banded 5 June; yearColumn = 2008, resighted 6/9/08"
NZPSMBCDC1,2008-04-07,NA,NA,2261-38310,NA,NA,T,"yearColumn = 2007, banded 7 june; yearColumn = 2008, resighted by participant 7 April"
REITBOBMD1,2008-03-20,NA,NA,2261-38311,NA,NA,T,"yearColumn = 2007, banded 8 june; yearColumn = 2008, resighted by participant 20 March; yearColumn = 2009, resighted by participant 8 march; yearColumn = 2010, resighted by participant 10 June; resight 7/6"
FOLEMARMD1,2008-06-30,NA,NA,2510-04309,NA,NA,T,"yearColumn = 2007, banded 16 June; yearColumn = 2008, resighted 30 june"
WATSPATDC1,2008-06-15,NA,NA,2301-56009,NA,NA,T,"yearColumn = 2007, banded 19 June; yearColumn = 2008, resighted 6/08"
BROWANNDC1,2008-07-23,NA,NA,2281-69413,NA,NA,T,"yearColumn = 2007, Banded 20 June; yearColumn = 2008, resighted 23 Jul"
MISSEDDC1,2008-06-27,NA,NA,2301-56905,NA,NA,T,"yearColumn = 2007, Banded 21 June; yearColumn = 2008, Resighted June 27; yearColumn = 2009, resighted by participant spring 2009; yearColumn = 2010, Resighted 6/7/2010"
OWENDORVA1,2008-07-30,NA,NA,2281-69417,NA,NA,T,"yearColumn = 2007, Banded 25 June; yearColumn = 2008, resighted by NNW july 30"
NEWBCARVA1,2008-07-11,NA,NA,2510-04320,NA,NA,T,"yearColumn = 2007, Banded 2 July; yearColumn = 2008, resighted July 11, 2008"
NZPAMAZDC1,2007-02-15,NA,NA,2281-69210,NA,NA,T,"yearColumn = 2007, banded 3 Jul; yearColumn = 2008, found dead Feb 2008"
WALKPATVA1,2008-03-15,NA,NA,2281-69434,NA,NA,T,"yearColumn = 2007, Banded 7 July; yearColumn = 2008, resighted by NNW"
REITBOBMD1,2008-03-02,NA,NA,2301-56925,NA,NA,T,"yearColumn = 2007, Banded 13 July; yearColumn = 2008, resighted by participant 2 March; yearColumn = 2009, resighted be participant May ; yearColumn = 2010, resighted by participant in Spring ; yearColumn = 2011, resighted by participant in Spring ; yearColumn = 2012, resighted by participant in Spring ; yearColumn = 2013, resighted by participant in Spring; re-banded April "
DAVIALIVA1,2008-07-01,NA,NA,2301-56028,NA,NA,T,"yearColumn = 2007, banded 17-Jul; yearColumn = 2008, resighted 1 july"
WILLRAJMD1,2008-07-06,NA,NA,2261-38332,NA,NA,T,"yearColumn = 2007, banded 14 july; yearColumn = 2008, resighted 6 july"
WILLRAJMD1,2008-07-06,NA,NA,1991-46155,NA,NA,T,"yearColumn = 2007, banded 14 july; yearColumn = 2008, resighted 6 july"
WILLTINVA1,2008-06-18,NA,NA,2281-69446,NA,NA,T,"yearColumn = 2007, banded 17 July; yearColumn = 2008, resighted 18 June; yearColumn = 2009, resighted by participant, 1/21/09, 5/12/09, recaptured 6/30/09"
WILLTINVA1,2008-06-18,NA,NA,2281-69447,NA,NA,T,"yearColumn = 2007, banded 17 July; yearColumn = 2008, resighted 18 June"
ZAMBTRAMD1,2008-07-18,NA,NA,1991-46164,NA,NA,T,"yearColumn = 2007, banded 23 july; yearColumn = 2008, resighted 7/18/08; yearColumn = 2009, recaptured 5/15; yearColumn = 2010, recap 5/11/2010"
LIEBJUDMD1,2008-06-19,NA,NA,2301-56036,NA,NA,T,"yearColumn = 2007, Banded 30 July; yearColumn = 2008, resighted 6/19/2008; yearColumn = 2009, resighted 6/3/2009"
MCKEJANMD1,2009-07-16,NA,NA,1801-09483,NA,NA,T,"yearColumn = 2002, banded 2 August; yearColumn = 2005, resighted 11 May; yearColumn = 2009, resighted 7/16/09 by AJR."
STURCARMD1,2009-07-13,NA,NA,2250-90370,NA,NA,T,"yearColumn = 2003, Banded 8 May; yearColumn = 2004, Resighted 14 July; yearColumn = 2005, resighted by participant 26 april, 12 July; yearColumn = 2009, resighted 7/13"
STANJEFMD1,2009-05-07,NA,NA,1841-58841,NA,NA,T,"yearColumn = 2004, banded 20 May; yearColumn = 2005, resighted by participant 17 July; yearColumn = 2006, recaptured June 17; yearColumn = 2007, resighted by participant and bander on 24 May; yearColumn = 2008, resighted by participant 1 June; yearColumn = 2009, resighted during visit 5/7/2009"
ZENKBOBMD1,2009-07-29,NA,NA,1951-41237,NA,NA,T,"yearColumn = 2005, banded Apr. 21; yearColumn = 2009, Resight July 29!"
SALOSHEMD1,2009-06-22,NA,NA,1951-41109,NA,NA,T,"yearColumn = 2005, banded 8 June; yearColumn = 2008, resighted by participant; yearColumn = 2009, resighted 6/22"
MCKEJANMD1,2009-07-16,NA,NA,1991-21108,NA,NA,T,"yearColumn = 2005, banded 21 July; yearColumn = 2008, recap 6/2; yearColumn = 2009, resighted 7/16/09 by AJR."
SALOSHEMD1,2009-06-22,NA,NA,4501-87449,NA,NA,T,"yearColumn = 2006, banded 13 July; yearColumn = 2007, resighted by participant 1 June; yearColumn = 2008, resighted by participant 15 May; yearColumn = 2009, resighted 6/22 by ND"
REITBOBMD1,2009-06-01,NA,NA,2251-80703,NA,NA,T,"yearColumn = 2006, banded 25 May; yearColumn = 2009, resighted by participant 1 June"
FAGABERMD1,2009-07-24,NA,NA,2251-80505,NA,NA,T,"yearColumn = 2006, banded June 15; yearColumn = 2009, resighted 7/24"
KORRHARMD1,2009-06-04,NA,NA,1991-46110,NA,NA,T,"yearColumn = 2007, Banded 8 May; yearColumn = 2008, resighted 13 June; yearColumn = 2009, resighted 6/4/2009, nesting in yard"
STANJEFMD1,2009-05-07,NA,NA,2400-00682,NA,NA,T,"yearColumn = 2007, banded 24 May; yearColumn = 2008, resighted by participant 25 april; recap 11 June; yearColumn = 2009, resighted during visit 5/7/2009"
STURCARMD1,2009-07-03,NA,NA,2400-00690,NA,NA,T,"yearColumn = 2007, banded 31 May; yearColumn = 2009, resighted 7/3; yearColumn = 2010, resighted by participant 24 April; yearColumn = 2011, Resighted by participant; yearColumn = 2012, Resighted by participant; yearColumn = 2013, resighted by participant 4 June"
STURCARMD1,2009-07-03,NA,NA,1951-41073,NA,NA,T,"yearColumn = 2007, Banded 31 May; yearColumn = 2009, resighted 7/3; yearColumn = 2010, resighted by participant 28 April"
REITBOBMD1,2009-03-08,NA,NA,2261-38311,NA,NA,T,"yearColumn = 2007, banded 8 june; yearColumn = 2008, resighted by participant 20 March; yearColumn = 2009, resighted by participant 8 march; yearColumn = 2010, resighted by participant 10 June; resight 7/6"
STEWBETMD1,2009-05-13,NA,NA,2281-69408,NA,NA,T,"yearColumn = 2007, Banded 15 June; yearColumn = 2009, Resight 5/13/2009"
THOMMARDC1,2009-07-17,NA,NA,2281-69203,NA,NA,T,"yearColumn = 2007, Banded 20 June; yearColumn = 2009, Resight 17 July"
OWENDORVA1,2009-07-22,NA,NA,1951-41098,NA,NA,T,"yearColumn = 2007, Banded 25 June; yearColumn = 2008, recaptured July 30; yearColumn = 2009, resighted by AJR during visit 7/22/09"
RUSSJODMD1,2009-07-23,NA,NA,2281-69420,NA,NA,T,"yearColumn = 2007, Banded 28 June; yearColumn = 2009, resighted 7/23/09"
