siteID,date,observer,time,bandNumber,longitude,latitude,resightType,notes
JONECBRMD1,2002-06-11,NA,NA,791-17804,NA,NA,T,"yearColumn = 2000, banded 9 June; yearColumn = 2002, resighted 11 June; yearColumn = 2003, resighted 11 July"
GOUGGREMD1,2002-06-20,NA,NA,1141-05729,NA,NA,T,"yearColumn = 2000, banded 15 June; yearColumn = 2002, resighted 20 June"
GOUGGREMD1,2002-06-23,NA,NA,791-17746,NA,NA,T,"yearColumn = 2000, banded 15 June; yearColumn = 2001, resighted by participant spring 2001; yearColumn = 2002, resighted 23 June; yearColumn = 2003, resighted 1 Jan 2004"
CALLJERMD1,2002-07-15,NA,NA,791-17816,NA,NA,T,"yearColumn = 2000, banded 29 June; yearColumn = 2002, resighted July"
SALOSHEMD1,2002-05-22,NA,NA,1141-05743,NA,NA,T,"yearColumn = 2000, banded 29 june; yearColumn = 2002, resighted 22 May; yearColumn = 2003, resighted 17 Feb"
HEATSUEVA1,2002-03-04,NA,NA,1920-85943,NA,NA,T,"yearColumn = 2000, banded 30 June; yearColumn = 2002, resighted 4 March"
FERRSUEMD1,2002-06-04,NA,NA,791-17822,NA,NA,T,"yearColumn = 2000, banded 5 july; yearColumn = 2001, recaptured 6 June; yearColumn = 2002, resighted 4 June; yearColumn = 2003, last resighted March "
MCKEANNVA1,2002-07-03,NA,NA,1141-05746,NA,NA,T,"yearColumn = 2000, banded 6 July; yearColumn = 2001, recaptured 14 June; yearColumn = 2002, resighted 3 July"
DORNROBMD1,2002-06-11,NA,NA,791-17829,NA,NA,T,"yearColumn = 2000, banded 21 July; yearColumn = 2001, resighted by participant spring 2001; yearColumn = 2002, resighted 11 June"
KOSLDREMD1,2002-05-30,NA,NA,791-17003,NA,NA,T,"yearColumn = 2001, banded 15 March; yearColumn = 2002, resighted 30 May"
KOSLDREMD1,2002-05-30,NA,NA,820-94561,NA,NA,T,"yearColumn = 2001, banded 15 March; yearColumn = 2002, resighted 30 May"
HAMMBARMD1,2002-05-27,NA,NA,1141-05771,NA,NA,T,"yearColumn = 2001, banded 23 March; yearColumn = 2002, Resighted 27 May"
HAMMBARMD1,2002-05-27,NA,NA,820-94570,NA,NA,T,"yearColumn = 2001, banded 23 March; yearColumn = 2002, resighted 27 May"
MORAJANMD1,2002-05-15,NA,NA,791-17015,NA,NA,T,"yearColumn = 2001, banded 4 April; yearColumn = 2002, resighted in May"
