siteID,region
KENTADAFL1,Gainesville
KLUBKARFL1,Gainesville
KNOXMIKFL1,Gainesville
KORNHARFL1,Gainesville
KOWAELIFL1,Gainesville
KRATANDFL1,Gainesville
LAMMLAUFL1,Gainesville
LAUESARFL1,Gainesville
LICHJERFL1,Gainesville
LISVINFL1,Gainesville
LOUWLISFL1,Gainesville
LOWRSTEFL1,Gainesville
LUISJONFL1,Gainesville
MACHCHRFL1,Gainesville
MANEXXXFL1,Gainesville
MCCOWALFL1,Gainesville
MILLKARFL1,Gainesville
MILLMARFL1,Gainesville
NATUAREFL1,Gainesville
NOSSANDFL1,Gainesville
ONEAJACFL1,Gainesville
PALUMATFL1,Gainesville
PERRJULFL1,Gainesville
PFEIJOHFL1,Gainesville
PLACGIRFL1,Gainesville
PLAZBUTFL1,Gainesville
PRESHOUFL1,Gainesville
PRESPENFL1,Gainesville
PROWGARFL1,Gainesville
ROBIRONFL1,Gainesville
ROBISCOFL1,Gainesville
SHAHMAUFL1,Gainesville
SILVCELFL1,Gainesville
STEPGREFL1,Gainesville
STRARICFL1,Gainesville
SUARERIFL1,Gainesville
VONMGREFL1,Gainesville
WATSJOSFL1,Gainesville
WEBBTOMFL1,Gainesville
WELLBREFL1,Gainesville
WHITLIZFL1,Gainesville
WILLJIMFL1,Gainesville
WILLNAHFL1,Gainesville
WINTCHAFL1,Gainesville
YOPPINCFL1,Gainesville
ALBEJOAPA1,Pittsburgh
ALCACHLPA1,Pittsburgh
ALEXROBPA1,Pittsburgh
AMANDRUPA1,Pittsburgh
ANDEBRUPA1,Pittsburgh
ARNDKARPA1,Pittsburgh
AZARCARPA1,Pittsburgh
BAERMIKPA1,Pittsburgh
BALDARTPA1,Pittsburgh
BARTTARPA1,Pittsburgh
BECIBARPA1,Pittsburgh
BERASHEPA1,Pittsburgh
BERGANDPA1,Pittsburgh
BERNJUNPA1,Pittsburgh
BERNKENPA1,Pittsburgh
BEVIPETEPA1,Pittsburgh
BEVIPETPA1,Pittsburgh
BIREROYPA1,Pittsburgh
BODNGEOPA1,Pittsburgh
BOREJOYPA1,Pittsburgh
BOREJOYPA2,Pittsburgh
BOSAJOEPA1,Pittsburgh
BOZESARPA1,Pittsburgh
BRUNKIMPA1,Pittsburgh
BYERHEAPA1,Pittsburgh
CASACORPA1,Pittsburgh
CASESUEPA1,Pittsburgh
CHIOKELPA1,Pittsburgh
COCHJIMPA1,Pittsburgh
COLSREBPA1,Pittsburgh
COMAPATPA1,Pittsburgh
COPEHAZPA1,Pittsburgh
CROYKATPA1,Pittsburgh
CUNKMARPA1,Pittsburgh
CUSHAMYPA1,Pittsburgh
DAMIMARPA1,Pittsburgh
DEMAMARPA1,Pittsburgh
DEMAPATPA1,Pittsburgh
DEPHKATPA1,Pittsburgh
DICKSUSPA1,Pittsburgh
DILLSHIPA1,Pittsburgh
DOJOSUEPA1,Pittsburgh
DOMENATPA1,Pittsburgh
DONLEDPA1,Pittsburgh
DOUTMARPA1,Pittsburgh
DWORBARPA1,Pittsburgh
ECKLJULPA1,Pittsburgh
ELINEDPA1,Pittsburgh
ENVICHAPA1,Pittsburgh
FARRAMYPA1,Pittsburgh
FECHMARPA1,Pittsburgh
FERKHOLPA1,Pittsburgh
FOYLDONPA1,Pittsburgh
GALVLIBPA1,Pittsburgh
GALVLIBPA2,Pittsburgh
GERBGIGPA1,Pittsburgh
GERHEUNPA1,Pittsburgh
GETZGLEPA1,Pittsburgh
GRANLINPA1,Pittsburgh
GUARMARPA1,Pittsburgh
GURTMARPA1,Pittsburgh
HANDLINPA1,Pittsburgh
HARVJILPA1,Pittsburgh
HASHTAMPA1,Pittsburgh
HATFGREPA1,Pittsburgh
HAUSJIMPA1,Pittsburgh
HAWKTERPA1,Pittsburgh
HEALMOLPA1,Pittsburgh
HICKBARPA1,Pittsburgh
HIGHRIVPA1,Pittsburgh
HOOVJASPA1,Pittsburgh
HOPEDONPA1,Pittsburgh
HOPEGREPA1,Pittsburgh
HUNTVIRPA1,Pittsburgh
HYJUMIKPA1,Pittsburgh
JEFFMARPA1,Pittsburgh
JOHNJUDPA1,Pittsburgh
JONENICPA1,Pittsburgh
JOSELINPA1,Pittsburgh
KARMALYPA1,Pittsburgh
KARMALYPA2,Pittsburgh
KELLERIPA1,Pittsburgh
KENNALAPA1,Pittsburgh
KILEHAYPA1,Pittsburgh
KINGHOPPA1,Pittsburgh
KIRSCHRPA1,Pittsburgh
KOBEDANPA1,Pittsburgh
KOCHDONPA1,Pittsburgh
KOPCTOMPA1,Pittsburgh
KOSAMICPA1,Pittsburgh
KRESMARPA1,Pittsburgh
KUMASUPPA1,Pittsburgh
LARSLIDPA1,Pittsburgh
LATTSTEPA1,Pittsburgh
LEEJOEPA1,Pittsburgh
LEONMICPA1,Pittsburgh
